NOM;CODI;DATA;SEXE;GRUP_EDAT;RESIDENCIA;CASOS_CONFIRMAT;PCR;TAR;INGRESSOS_TOTAL;INGRESSOS_CRITIC;INGRESSATS_TOTAL;INGRESSATS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-09-29;Home;30 a 39;Si;0;6;3;0;0;0;0;0;0;0;0;0;5;3;0;2
CATALUNYA;GLOBAL;2021-09-29;Home;40 a 49;No;22;932;532;5;0;26;7;0;12;10;16;10;777;464;256;416
CATALUNYA;GLOBAL;2021-09-29;Home;40 a 49;Si;0;8;2;0;0;0;0;0;0;0;0;0;4;1;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;50 a 59;No;19;859;317;4;0;32;17;0;9;10;8;11;723;282;124;145
CATALUNYA;GLOBAL;2021-09-29;Home;50 a 59;Si;0;8;6;0;0;3;0;0;0;0;0;0;5;6;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;60 a 69;No;13;669;208;0;3;51;27;0;7;6;8;7;571;173;52;94
CATALUNYA;GLOBAL;2021-09-29;Home;60 a 69;Si;0;26;2;0;0;0;0;0;0;0;0;0;15;2;1;0
CATALUNYA;GLOBAL;2021-09-29;Home;70 a 79;No;19;600;155;2;2;59;24;1;14;5;9;6;546;143;18;19
CATALUNYA;GLOBAL;2021-09-29;Home;70 a 79;Si;0;40;3;1;1;3;1;0;0;0;0;0;26;2;0;0
CATALUNYA;GLOBAL;2021-09-29;Home;80 o més;No;1;448;89;2;0;40;0;0;1;0;1;0;408;81;3;8
CATALUNYA;GLOBAL;2021-09-29;Home;80 o més;Si;1;75;8;2;1;6;1;1;1;0;1;0;48;6;0;3
CATALUNYA;GLOBAL;2021-09-28;Altres;N/A;--;12;1664;1;2;0;56;14;0;10;2;10;0;1647;1;100;108
CATALUNYA;GLOBAL;2021-09-28;Dona;0 a 9;No;50;847;798;1;0;2;0;0;43;7;52;6;786;729;0;0
